category,district,culutename,cultureaddress,organizationname,targetaudience,fee,description,thumbnailimage,startdate,enddate,isfree,portalurl
뮤지컬/오페라,노원구,[광진문화재단] 가족뮤지컬 [넌 특별하단다],광진어린이공연장,광진문화재단,36개월 이상 관람 권장,"전석 25,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3f749126bfa343a78a7bf9df776a4b14&thumb=Y,2025. 5. 24,2025. 5. 25,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153188&menuNo=200008
축제-문화/예술,노원구,2025 서울세계도시문화축제 [Seoul Friendship Festival 2025],동대문디자인플라자(DDP) 어울림광장 등,서울시청,누구나,"무료(단, 세계 음식 및 디저트 등 유상 판매)",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7e8d071a4e40406eabd55e6e8a8d219c&thumb=Y,2025. 5. 24,2025. 5. 25,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153414&menuNo=200010
교육/체험,노원구,우리동네 레전드 맵: 서울,예술의전당 한가람디자인미술관 1층,기타,만 10세 이상 누구나,,"ISEA2025 행사의 일환으로 아트센터 나비 미술관은 미디어아트 융복합교육 <우리 동네 레전드 맵> 워크숍을 운영합니다. 본 프로그램은 '우리 동네' 에 대해 이야기 나누고, 새로운 기술(인공지능, 증강현실)을 배워 작품을 만드는 융복합 창작 프로그램입니다. 프로그램 참여는 만 10세 이상 누구나 참여할 수 있으며, 가족 단위 신청도 가능합니다. 본 워크숍을 통해 다양한 세대가 한 자리에 모여, 지역을 기반으로 한 기억과 이야기를 공유하고 교감하는 뜻깊은 시간이 되길 기대합니다.",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c4b7f6d772ed4ca492b0368770693d1c&thumb=Y,2025. 5. 24,2025. 5. 25,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153290&menuNo=200011
교육/체험,노원구,"[서울문화예술교육센터 서초] 음악의 문장 [음악, 당신에게 무엇입니까]",서울문화예술교육센터 서초 1층 더 라운지,서울문화재단,성인/총 40명,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=caa26d40af4a47a1ab5af06393857530&thumb=Y,2025. 5. 24,2025. 5. 24,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153223&menuNo=200011
클래식,노원구,[서울시립교향악단] 2025 서울시향 키릴 게르스타인의 브람스 피아노 협주곡 2번 ②,예술의전당 콘서트홀,서울시립교향악단,초등학생 이상 관람가,"R 100,000원 S 80,000원 A 50,000원 B 30,000원 C 10,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=48274ccded064864972fd8e98cd32683&thumb=Y,2025. 5. 24,2025. 5. 24,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153129&menuNo=200008
교육/체험,노원구,문예북흥 No.23 나성인&이승은 - 클래식과 탱고로 노래하고 춤추는 나성인+이승은 부부가 부창부수의 진수를 보여주다.,이호철북콘서트홀,은평역사한옥박물관,누구나,"5,000원","[문예북흥]은 책을 통해 문학에서 예술로 나아가는 문예부흥 시리즈로 분닥문학의 거장 이호철을 영점으로 우리 시대의 고전과 젊은 목소리의 화합을 희망하는 마음에서 시작되었습니다. 강연자가 직접선정한 한 권의 책을 주제로 청중과 소통하는 자유로운 토크 콘서트, 매주 토요일, 1년 52주 동안 연속으로 진행됩니다. ",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7e30651f6af44f3ab89b562f3e1e68f2&thumb=Y,2025. 5. 24,2025. 5. 24,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153502&menuNo=200011
축제-문화/예술,노원구,[미래한강본부] 2025 한강 대학가요제,뚝섬한강공원 수변무대,미래한강본부,누구나,무료,"문화공연, 어린이 놀이존, 리딩존(독서 공간), 보드게임존, 커플 가족 친구 등을 위한 프로그램존, 푸드트럭존 운영",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=700a5f659f834b128f1c2297f2a7e7fb&thumb=Y,2025. 5. 24,2025. 5. 24,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153058&menuNo=200010
교육/체험,노원구,[서울생활문화센터 체부] 체부동아틀리에 [나만의 향수 만들기],서울생활문화센터 체부 금오재 사랑 (한옥 공간),서울생활문화센터-체부,13세 이상,"1인 5,000원 (선정 후 계좌 입금)",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=01090502e428432da78f436e963c384b&thumb=Y,2025. 5. 24,2025. 5. 24,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153538&menuNo=200011
영화,노원구,[서울역사박물관] 특별전 연계 영화 상영회 [신기수 다큐멘터리 영화-에도시대의 조선통신사],서울역사박물관 1층 야주개홀,서울역사박물관,제한 없음(어린이 및 노약자 방문시 보호자 동반 필수),,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ae331c0a9fcf45a6af3e1ddf5ac51c67&thumb=Y,2025. 5. 24,2025. 5. 24,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153722&menuNo=200013
축제-문화/예술,노원구,숲 속에서 즐기는 모두의 예술 피크닉!  2025 예술해봄 축제,서울어린이대공원 포시즌가든 일대,서울문화재단,시민 누구나,,"서울생활예술 공연 및 전시?체험 프로그램, 서울스테이지 밴드 동물원, 옥상달빛 공연, 작가농부마켓, '예술해봄'그림으로 그려보기 등 ",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4123bebbbfa441cda17bdd8109b7463d&thumb=Y,2025. 5. 24,2025. 5. 24,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153470&menuNo=200010
독주/독창회,노원구,제19회 음악에 기대어 정기연주회,영산아트홀,기타,미취학 입장 불가 ,"전석 20,000원 (학생 50%할인)",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a7a174faaa0f4d33ba53cf18818c1f48&thumb=Y,2025. 5. 24,2025. 5. 24,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153353&menuNo=200008
축제-문화/예술,노원구,[광진문화재단] 2025 나루 동요제,서울어린이대공원 열린무대,광진문화재단,전체관람,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=850a60d410aa4308a0f51ac5d90d2ead&thumb=Y,2025. 5. 24,2025. 5. 24,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152980&menuNo=200010
무용,노원구,리틀엔젤스예술단 기획공연 [HARMONY] (하모니),유니버설아트센터,기타,누구나,"VIP석 70,000원 R석 50,000원 S석 30,000원 A석 10,000원","북춤, 처녀총각, 부채춤, 시집가는날, 가야금병창, 화검, 설날아침, 신명한판, 합창",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=adc0c521e3c349459a5b69e04c08e4ff&thumb=Y,2025. 5. 24,2025. 5. 24,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153444&menuNo=200008
뮤지컬/오페라,노원구,[관악문화재단] 가족뮤지컬 [반쪽이전],관악아트홀 공연장,관악문화재단,24개월이상 관람가능,"40,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=791205d3985242e2b98d5b39db48ffa3&thumb=Y,2025. 5. 24,2025. 5. 24,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153658&menuNo=200008
클래식,노원구,[2025 클래식다방 - 대주아트엔터뮤직2호점] Dream It! Do It!,대주아트홀,서초문화재단,초등학생 이상,"전석 14,000원 / 서초구민 7,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=feb0232604954b718f9b975e3c51fdf1&thumb=Y,2025. 5. 24,2025. 5. 24,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153421&menuNo=200008
교육/체험,노원구,[마포구립서강도서관] 어린이 도서관초대석 [상추씨] 조혜란 작가,마포구립서강도서관 3층 세미나실,마포구청,"5~7세 어린이, 15명 (어린이만 참여가능)",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bdb3f38a06e643a0b0c0165470aab056&thumb=Y,2025. 5. 24,2025. 5. 24,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153424&menuNo=200011
교육/체험,노원구,[서울공예박물관] SeMoCA 글로벌 공예 멘토 워크숍 #2 해외 한국실 큐레이터,서울공예박물관 교육동 1층 강당,서울공예박물관,"성인, 청소년, 모든 시민",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a64472cc9c464a17a26e3759f9607fd7&thumb=Y,2025. 5. 24,2025. 5. 24,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153544&menuNo=200011
전시/미술,노원구,마르크 샤갈 특별전 : BEYOND TIME,예술의전당 한가람미술관 1층,기타,누구나,"성인 25,000원, 청소년/어린이 18,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=44e99844761e440dac3decb2e8fe116a&thumb=Y,2025. 5. 23,2025. 9. 21,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153413&menuNo=200009
전시/미술,노원구,"[서울시] 2025 풍납 조각페스티벌 야외조각전시 《역사의 터, 예술로 깨어나다 Ⅱ》","풍납근린공원, 송파스마트도서관 소공원, 경당역사공원",서울시청,누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=69cac03fcd204886a2b49e7c420478c3&thumb=Y,2025. 5. 23,2025. 8. 12,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153719&menuNo=200009
교육/체험,노원구,[관악청년청] 2025 청년역량강화사업 커리어트랙 [Track1. 취준진담],관악청년청 3층 다목적강당,관악문화재단,청년,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c7a1ae618d1f4b25a12fa10f7d316492&thumb=Y,2025. 5. 23,2025. 6. 20,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153508&menuNo=200011
교육/체험,노원구,[관악문화재단] 2025년 관악시민문화기획 아카데미 [우주관문스쿨],"싱글벙글교육센터(문화도시공유공간), 관악청년청",관악문화재단,문화기획에 대한 열정과 관악에 대한 애정을 가진 누구나,,관악 시민문화기획 아카데미 우주관문스쿨은 관악구문화도시센터에서 운영하는 시민문화기획자 양성과정입니다.,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fac28d727df34a7daa4e6afaaca73c90&thumb=Y,2025. 5. 23,2025. 6. 10,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153770&menuNo=200011
전시/미술,노원구,[서울대학교미술관] ISEA2025 [Good Morning Mr. Orwell Ver.2],서울대학교미술관 전시실1-4,기타,전체,무료,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=dbff758868e04b2c9dffcd4a38fa7603&thumb=Y,2025. 5. 23,2025. 5. 29,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153563&menuNo=200009
축제-문화/예술,노원구,제30회 국제전자예술심포지엄 [ISEA2025 동동: Creators’ Universe],"예술의전당(한가람디자인미술관, 서울서예박물관, 자유소극장) 등",기타,누구나,*전시 프로그램: 무료 *학술 프로그램: 프로그램 및 일자별 상이(ISEA2025웹페이지 확인 필요),,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=238ae5b173814d559271fd73f714f64e&thumb=Y,2025. 5. 23,2025. 5. 29,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153313&menuNo=200010
전시/미술,노원구,[서울시립 난지미술창작스튜디오] 2025 난지미술창작스튜디오 오픈스튜디오: 스윙바이,서울시립 난지미술창작스튜디오,서울시립미술관,누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c9eaad2e9fbd4f1db86d5af49b7a03e1&thumb=Y,2025. 5. 23,2025. 5. 25,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153606&menuNo=200009
무용,노원구,국립현대무용단 [우리는 움직일 수밖에 없었다],예술의전당 CJ 토월극장,기타,누구나,"R석 50,000 S석 30,000 A석 20,000",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f794899f11354f33b7f81a6f13595187&thumb=Y,2025. 5. 23,2025. 5. 25,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153392&menuNo=200008
교육/체험,노원구,2025 국민참여형 예술치유 프로그램 [치유도 예술로],국립중앙박물관 거울못 일원,기타,누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=eb2aafcf1d0e4333bbe8b0993e87e1f4&thumb=Y,2025. 5. 23,2025. 5. 25,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153560&menuNo=200011
교육/체험,노원구,[서울시립 미술아카이브] 2025 서울시립 미술아카이브 주제연구포럼 [이후의 미술(관)],서울시립 미술아카이브 나눔동 2층,서울시립미술관,성인,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ed8c4ec340494edf88f92dd703afb4df&thumb=Y,2025. 5. 23,2025. 5. 24,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153457&menuNo=200011
콘서트,노원구,[세종문화회관] 합창과 문학의 만남 [어린 왕자],세종체임버홀,세종문화회관,7세 이상 관람 가능 (2018년 이전 출생자),"전석 20,000원",<html lang=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f8f278e1d0ab4b8a9b2ceb74c538808c&thumb=Y,2025. 5. 23,2025. 5. 24,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153390&menuNo=200008
뮤지컬/오페라,노원구,[강북문화재단] 가족 뮤지컬 [안녕? 빨강머리 앤],강북문화예술회관 강북소나무홀,강북문화재단,36개월이상 관람가능,"전석 30,000원 (강북구민 1만원)",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f35edffaeb334b2f8bfa98f57833d765&thumb=Y,2025. 5. 23,2025. 5. 24,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153032&menuNo=200008
축제-전통/역사,노원구,2025 정동야행,서울시 중구 정동길 일대,중구청,시민 누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7555d5020acd4befbf946d1f30436ba9&thumb=Y,2025. 5. 23,2025. 5. 24,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153002&menuNo=200010
기타,노원구,"[서울역사박물관] 국제학술대회 [우호와 평화의 사절, 통신사]",서울역사박물관 야주개홀,서울역사박물관,관심있는 누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5f86e033353d48a5a7db334f53fcc3c3&thumb=Y,2025. 5. 23,2025. 5. 23,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153484&menuNo=200013
클래식,노원구,[서울시립교향악단] 2025 서울시향 키릴 게르스타인의 브람스 피아노 협주곡 2번 ①,롯데콘서트홀,서울시립교향악단,초등학생 이상 관람가,"R 100,000원 S 80,000원 A 50,000원 B 30,000원 C 10,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7c8268d3076b40119dd7ea80e468df22&thumb=Y,2025. 5. 23,2025. 5. 23,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153137&menuNo=200008
콘서트,노원구,"재즈 보컬의 정수 Ella Fitzgerald, 김영미 듀오 [Re : Jazz We Loved]",예술가의집 라운지,기타,누구나,"전석 33,000원 (사전예매 할인가 30,000)","4인의 재즈 거장들의 음악을 오늘의 언어로 풀어낸, 국내 재즈 뮤지션들의 세심한 트리뷰트 콘서트",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=849481063741476a8781ee2e61a45744&thumb=Y,2025. 5. 23,2025. 5. 23,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153516&menuNo=200008
교육/체험,노원구,"[운현궁] 맞춤형 전통문화체험 원데이 클래스 [봄, 여름의 향기 다도편]",운현궁 이로당,운현궁,누구나,"1인 20,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=55ef4772c97a471e914cdc624fa4bd81&thumb=Y,2025. 5. 23,2025. 5. 23,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153599&menuNo=200011
콘서트,노원구,[구로문화재단] 김창완밴드 콘서트,오류아트홀,구로문화재단,중학생 이상,"전석 40,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=15179c384ac34b02943f685ec10379ac&thumb=Y,2025. 5. 23,2025. 5. 23,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153243&menuNo=200008
교육/체험,노원구,[서울 문화의 밤] 5월 방구석 북토크 - 응급실에서 발견한 사랑(남궁인),서울도서관 1층 생각마루,서울도서관,서울도서관 회원,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6aa7ad634512448c838d8158b3f7223b&thumb=Y,2025. 5. 23,2025. 5. 23,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153385&menuNo=200011
기타,노원구,"[한성백제박물관] 2025년 경희대학교 한국고대사?고고학연구소, 한국고대근동학회 공동주최 학술회의",한성백제박물관 한성백제홀,한성백제박물관,관심있는 누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=342b9e78a7644436af708f7b6b3bc0d3&thumb=Y,2025. 5. 23,2025. 5. 23,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153615&menuNo=200013
축제-자연/경관,노원구,[서울시청] 2025 서울국제정원박람회,서울 보라매공원,서울시청,누구나,무료,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=586fc39330d24efa85d8c29456caba0f&thumb=Y,2025. 5. 22,2025. 10. 20,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153189&menuNo=200010
교육/체험,노원구,[세종예술아카데미] 뮤지컬의 탄생 : 21세기 브로드웨이 히트 뮤지컬,세종예술아카데미 서클홀,세종문화회관,관심있는 누구나,"210,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bd7ff8a278a243268de7108d54c91f2c&thumb=Y,2025. 5. 22,2025. 7. 3,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152653&menuNo=200011
전시/미술,노원구,구본아 개인전 [벽에 쓰는 시 Poetry on the Wall],서울아트센터 도암 3층 도암갤러리,기타,누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5b83c5def1da432bba1018ca99e7180b&thumb=Y,2025. 5. 22,2025. 6. 28,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153777&menuNo=200009
전시/미술,노원구,이형우 [편백나무],"노화랑 1, 2층 전시실",기타,누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=47f47d9c53884089a4e5a730265f50e5&thumb=Y,2025. 5. 22,2025. 6. 11,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153693&menuNo=200009
연극,노원구,[종로아이들극장] 2025 키우피우 오브제극축제 [한밤중의 카주],종로 아이들극장,종로문화재단,36개월 이상,"30,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6b36b565cbfa4b78a676c25a20946b44&thumb=Y,2025. 5. 22,2025. 5. 24,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152770&menuNo=200008
뮤지컬/오페라,노원구,[강남문화재단] 제997회 목요예술무대 가족 오페라 [돈 파스콸레 영감님 장가 보내기],"강남씨어터(역삼1동복합문화센터 3층, 강남구 역삼로 7길 16)",강남문화재단,6세 이상,"전석 10,000원(30-50% 할인권종有)",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a27fd03ae0174e0898570e6fa1538a9f&thumb=Y,2025. 5. 22,2025. 5. 22,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153572&menuNo=200008
클래식,노원구,[서초문화재단] 서리풀 마스터즈 시리즈 [케빈 케너 쇼팽의 그랜드 판타지],심산기념문화센터 반포심산아트홀,서초문화재단,초등학생 이상,R석 2만원 S석 1만5천원,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d64c10035aa741d6acebac545012ab34&thumb=Y,2025. 5. 22,2025. 5. 22,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153287&menuNo=200008
전시/미술,노원구,[서울공예박물관] 공예동행@쇼윈도 #2. 유연한 기하학(Flexible Geometry),"서울공예박물관 전시3동, 기타장소 ",서울공예박물관,누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=64c151b366514523a8d41d28139fd329&thumb=Y,2025. 5. 21,2025. 7. 13,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153782&menuNo=200009
전시/미술,노원구,[세종뮤지엄갤러리] 무한을 향한 시선 A View Towards Infinity - 이희중 회고전,"세종뮤지엄갤러리 1,2관(서울 광진구 능동로 209 세종대학교 대양 AI센터 지하 1,2층)",기타,누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5953a447fd024efe89ee1a46fc640888&thumb=Y,2025. 5. 21,2025. 6. 1,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153730&menuNo=200009
전시/미술,노원구,[삼청각] 열린 문,삼청각 취한당,기타,누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ec7472690ebf4e1fa58dd8bbcf6b7334&thumb=Y,2025. 5. 21,2025. 5. 31,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153828&menuNo=200009
교육/체험,노원구,[서울문화예술교육센터 양천] 우리가 궁금했던 예술 [현대를 그려가는 전통: 거문고와 대금],다목적홀,서울문화재단,전통예술과 음악에 관심있는 성인 총 50명,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b9dc8ecf929f4bdaa50651e05fb7686d&thumb=Y,2025. 5. 21,2025. 5. 28,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153574&menuNo=200011
교육/체험,노원구,[서울백제어린이박물관] 뮤지엄휴휴프로그램9 [우리 옷 우리 문양],서울백제어린이박물관 다목적실,서울백제어린이박물관,6~7세 유아 동반 가족,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f128e0b27ff54650be705158fda01cd7&thumb=Y,2025. 5. 21,2025. 5. 28,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153550&menuNo=200011
교육/체험,노원구,"[서울아트책보고] 백인교 작가와의 대화 -감정을 깨우는 색, 움직이는 마음",서울아트책보고 갤러리,서울아트책보고,시민 누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3d08a88d57514410b76ba3edd440e464&thumb=Y,2025. 5. 21,2025. 5. 21,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153482&menuNo=200011
교육/체험,노원구,[동대문문화재단] 동대문구 축제 코디네이터 [문워커] 양성 교육 ,선농단역사문화관,동대문문화재단,만 18세 이상 시민 누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=efc2f3b9d9ff41a9bb9defb809277f13&thumb=Y,2025. 5. 20,2025. 10. 27,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153803&menuNo=200011
전시/미술,노원구,[강동문화재단] 에르베 튈레_색색깔깔 뮤지엄,강동아트센터 아트랑 1~3,강동문화재단,제한 없음,"어린이 12,000원 성인 15,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=35b355085a1f4fb8ae06d1cc1851ae17&thumb=Y,2025. 5. 20,2025. 7. 27,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153701&menuNo=200009
교육/체험,노원구,[서울역사박물관] 미술사학자와 함께 떠나는 통신사 미술 기행,"서울역사박물관 1, 2학습실",서울역사박물관,통신사 관련 역사와 미술 주제에 관심 있는 성인 누구나 (회당 40명),,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6f15eb8153bc48c89aa17ac51f4f29e6&thumb=Y,2025. 5. 20,2025. 6. 10,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153720&menuNo=200011
교육/체험,노원구,[서울백제어린이박물관] 초등 1-2학년 학급 대상 [어린이백제연구소2] 물건의변화탐색,"서울백제어린이박물관 전시실, 교육실",한성백제박물관,초등 1-2학년 학급,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=680f246f1c3c4901a39b8baea01cc3f0&thumb=Y,2025. 5. 20,2025. 6. 4,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152624&menuNo=200011
전시/미술,노원구,[운현궁] 2025 기획전시 [立夏 이야기],운현궁 기획전시실,운현궁,누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9306bb70ad5b442b9e753299377c1d39&thumb=Y,2025. 5. 20,2025. 5. 25,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153595&menuNo=200009
클래식,노원구,상명플루트앙상블 라 폰타나 [상명대학교 개교 60주년 기념 음악회],세종문화회관 세종체임버홀,세종문화회관,7세 이상 관람 가능 (2018년 이전 출생자),"전석 20,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e59e63357b9c4d72a912f474f271ba76&thumb=Y,2025. 5. 20,2025. 5. 20,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153362&menuNo=200008
기타,노원구,[서울시50플러스재단] 2025년 서울 중장년 채용박람회 [남부럽게 취업],서울시50플러스 남부캠퍼스(1-4층),서울시청,"40-64세 취업 희망자, 서남권역 거주자",무료,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=48b0728654884b7c8e40c61239f8e624&thumb=Y,2025. 5. 20,2025. 5. 20,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153128&menuNo=200013
클래식,노원구,[서초문화재단] 서리풀 전곡 연주 시리즈 [하이든 교향곡 전곡 시리즈 28],심산기념문화센터 반포심산아트홀,서초문화재단,초등학생 이상,R석 2만원 S석 1만5천원,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=932d3f6b4b8f47d39b97037145a322df&thumb=Y,2025. 5. 20,2025. 5. 20,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153283&menuNo=200008
클래식,노원구,[2025 클래식다방 - 로데아트센터] French vs German：소리의 이중생활 1,로데아트센터 콘서트홀,서초문화재단,누구나,"전석 14,000원 / 서초구민 7,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b2ffe758e4a24074b206762cded6f8bf&thumb=Y,2025. 5. 20,2025. 5. 20,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153305&menuNo=200008
독주/독창회,노원구,강유리 바이올린 독주회,세종문화회관 체임버홀,기타,초등학생 이상,"전석 20,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=554763aa8e8948098d79627aec16f910&thumb=Y,2025. 5. 19,2025. 5. 19,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153363&menuNo=200008
